subscription_id,customer_id,plan_id,start_date,canceled_at,status
sub_00048,cus_00048,plan_starter,2024-11-15,2026-03-17,canceled
sub_00049,cus_00049,plan_growth,2024-12-02,,active
sub_00050,cus_00050,plan_starter,2024-12-08,2026-02-04,canceled
sub_00051,cus_00051,plan_growth,2024-12-20,,active
sub_00052,cus_00052,plan_growth,2024-12-05,2025-03-24,canceled
sub_00053,cus_00053,plan_growth,2024-12-18,2025-01-21,canceled
sub_00054,cus_00054,plan_scale,2024-12-11,,active
sub_00055,cus_00055,plan_growth,2024-12-27,2025-08-26,canceled
sub_00056,cus_00056,plan_growth,2024-12-18,2026-04-12,canceled
sub_00057,cus_00057,plan_growth,2024-12-29,,active
sub_00058,cus_00058,plan_scale,2024-12-30,,active
sub_00059,cus_00059,plan_starter,2024-12-15,,active
sub_00060,cus_00060,plan_growth,2024-12-04,2025-02-13,canceled
sub_00061,cus_00061,plan_growth,2024-12-18,,active
sub_00062,cus_00062,plan_growth,2024-12-03,2025-03-05,canceled
sub_00063,cus_00063,plan_growth,2024-12-28,2026-08-19,canceled
sub_00064,cus_00064,plan_growth,2024-12-30,2026-01-01,canceled
sub_00065,cus_00065,plan_growth,2024-12-19,,active
sub_00066,cus_00066,plan_growth,2024-12-28,,active
sub_00067,cus_00067,plan_starter,2025-01-24,2026-03-23,canceled
sub_00068,cus_00068,plan_starter,2025-01-07,,active
sub_00069,cus_00069,plan_growth,2025-01-04,2025-05-05,canceled
sub_00070,cus_00070,plan_starter,2025-01-12,,active
sub_00071,cus_00071,plan_starter,2025-01-03,,active
sub_00072,cus_00072,plan_starter,2025-01-07,2026-07-07,canceled
sub_00073,cus_00073,plan_starter,2025-01-08,,active
sub_00074,cus_00074,plan_growth,2025-01-14,,active
sub_00075,cus_00075,plan_growth,2025-01-02,2026-03-03,canceled
sub_00076,cus_00076,plan_starter,2025-01-27,,active
sub_00077,cus_00077,plan_starter,2025-01-13,,active
sub_00078,cus_00078,plan_growth,2025-01-04,,active
sub_00079,cus_00079,plan_growth,2025-01-17,,active
sub_00080,cus_00080,plan_growth,2025-01-07,2025-06-21,canceled
sub_00081,cus_00081,plan_scale,2025-01-18,2025-07-09,canceled
sub_00082,cus_00082,plan_scale,2025-01-04,,active
sub_00083,cus_00083,plan_growth,2025-01-20,,active
sub_00084,cus_00084,plan_growth,2025-01-28,2026-04-15,canceled
sub_00085,cus_00085,plan_scale,2025-01-17,2025-09-17,canceled
sub_00086,cus_00086,plan_growth,2025-01-26,,active
sub_00087,cus_00087,plan_starter,2025-02-04,2026-08-04,canceled
sub_00088,cus_00088,plan_growth,2025-02-02,,active
sub_00089,cus_00089,plan_starter,2025-02-28,,active
sub_00090,cus_00090,plan_scale,2025-02-06,,active
sub_00091,cus_00091,plan_growth,2025-02-05,2025-05-15,canceled
sub_00092,cus_00092,plan_starter,2025-02-01,,active
sub_00093,cus_00093,plan_growth,2025-02-01,,active
sub_00094,cus_00094,plan_starter,2025-02-08,,active
sub_00095,cus_00095,plan_growth,2025-02-17,,active
sub_00096,cus_00096,plan_growth,2025-02-08,,active
sub_00097,cus_00097,plan_scale,2025-02-04,,active
sub_00098,cus_00098,plan_growth,2025-02-23,,active
sub_00099,cus_00099,plan_growth,2025-02-20,,active
sub_00100,cus_00100,plan_enterprise,2025-02-11,,active
sub_00101,cus_00101,plan_enterprise,2025-02-20,,active
sub_00102,cus_00102,plan_starter,2025-02-27,,active
sub_00103,cus_00103,plan_starter,2025-02-27,,active
sub_00104,cus_00104,plan_growth,2025-02-23,,active
sub_00105,cus_00105,plan_scale,2025-02-25,,active
sub_00106,cus_00106,plan_growth,2025-02-18,,active
sub_00107,cus_00107,plan_growth,2025-03-14,2026-03-02,canceled
sub_00108,cus_00108,plan_starter,2025-03-28,2026-07-25,canceled
sub_00109,cus_00109,plan_starter,2025-03-24,,active
sub_00110,cus_00110,plan_growth,2025-03-19,,active
sub_00111,cus_00111,plan_growth,2025-03-20,2026-03-21,canceled
sub_00112,cus_00112,plan_scale,2025-03-24,,active
sub_00113,cus_00113,plan_enterprise,2025-03-16,,active
sub_00114,cus_00114,plan_growth,2025-03-16,,active
sub_00115,cus_00115,plan_enterprise,2025-03-11,,active
sub_00116,cus_00116,plan_starter,2025-03-19,,active
sub_00117,cus_00117,plan_growth,2025-03-17,,active
sub_00118,cus_00118,plan_growth,2025-03-17,,active
sub_00119,cus_00119,plan_scale,2025-03-21,2025-11-03,canceled
sub_00120,cus_00120,plan_starter,2025-03-07,,active
sub_00121,cus_00121,plan_growth,2025-03-03,2026-03-21,canceled
sub_00122,cus_00122,plan_scale,2025-03-16,,active
sub_00123,cus_00123,plan_growth,2025-03-23,,active
sub_00124,cus_00124,plan_scale,2025-03-11,,active
sub_00125,cus_00125,plan_starter,2025-03-15,2025-09-14,canceled
sub_00126,cus_00126,plan_growth,2025-03-06,,active
sub_00127,cus_00127,plan_scale,2025-03-27,,active
sub_00128,cus_00128,plan_growth,2025-03-18,,active
sub_00129,cus_00129,plan_starter,2025-03-30,,active
sub_00130,cus_00130,plan_scale,2025-03-10,,active
sub_00131,cus_00131,plan_growth,2025-03-09,2025-04-16,canceled
sub_00132,cus_00132,plan_growth,2025-04-23,,active
sub_00133,cus_00133,plan_starter,2025-04-06,,active
sub_00134,cus_00134,plan_starter,2025-04-07,,active
sub_00135,cus_00135,plan_growth,2025-04-19,,active
sub_00136,cus_00136,plan_growth,2025-04-15,,active
sub_00137,cus_00137,plan_starter,2025-04-23,2025-08-14,canceled
sub_00138,cus_00138,plan_growth,2025-04-02,,active
sub_00139,cus_00139,plan_growth,2025-04-09,2026-04-16,canceled
sub_00140,cus_00140,plan_growth,2025-04-14,2026-03-15,canceled
sub_00141,cus_00141,plan_growth,2025-04-19,,active
sub_00142,cus_00142,plan_growth,2025-04-18,2026-05-11,canceled
sub_00143,cus_00143,plan_growth,2025-04-17,,active
sub_00144,cus_00144,plan_starter,2025-04-05,2025-10-20,canceled
sub_00145,cus_00145,plan_scale,2025-04-28,,active
sub_00146,cus_00146,plan_scale,2025-04-26,,active
sub_00147,cus_00147,plan_starter,2025-04-20,2025-10-07,canceled
sub_00148,cus_00148,plan_enterprise,2025-04-16,,active
sub_00149,cus_00149,plan_starter,2025-04-05,2025-07-10,canceled
sub_00150,cus_00150,plan_starter,2025-04-24,,active
sub_00151,cus_00151,plan_growth,2025-04-11,2025-10-02,canceled
sub_00152,cus_00152,plan_scale,2025-04-19,,active
sub_00153,cus_00153,plan_enterprise,2025-04-02,,active
sub_00154,cus_00154,plan_scale,2025-04-25,,active
sub_00155,cus_00155,plan_starter,2025-04-23,,active
sub_00156,cus_00156,plan_starter,2025-04-18,,active
sub_00157,cus_00157,plan_scale,2025-05-28,,active
sub_00158,cus_00158,plan_scale,2025-05-13,2026-01-23,canceled
sub_00159,cus_00159,plan_enterprise,2025-05-10,,active
sub_00160,cus_00160,plan_scale,2025-05-17,,active
sub_00161,cus_00161,plan_growth,2025-05-26,,active
sub_00162,cus_00162,plan_starter,2025-05-22,,active
sub_00163,cus_00163,plan_growth,2025-05-19,,active
sub_00164,cus_00164,plan_scale,2025-05-10,,active
sub_00165,cus_00165,plan_enterprise,2025-05-06,2026-08-11,canceled
sub_00166,cus_00166,plan_starter,2025-05-01,,active
sub_00167,cus_00167,plan_starter,2025-05-27,,active
sub_00168,cus_00168,plan_growth,2025-05-12,2026-02-03,canceled
sub_00169,cus_00169,plan_growth,2025-05-08,2026-03-08,canceled
sub_00170,cus_00170,plan_scale,2025-05-21,2025-10-25,canceled
sub_00171,cus_00171,plan_scale,2025-05-22,,active
sub_00172,cus_00172,plan_growth,2025-05-30,2025-07-17,canceled
sub_00173,cus_00173,plan_growth,2025-05-02,2026-01-18,canceled
sub_00174,cus_00174,plan_growth,2025-05-17,,active
sub_00175,cus_00175,plan_growth,2025-05-05,,active
sub_00176,cus_00176,plan_starter,2025-05-18,,active
sub_00177,cus_00177,plan_starter,2025-05-04,2025-11-03,canceled
sub_00178,cus_00178,plan_growth,2025-05-13,2026-03-20,canceled
sub_00179,cus_00179,plan_growth,2025-05-25,,active
sub_00180,cus_00180,plan_starter,2025-06-27,2026-04-20,canceled
sub_00181,cus_00181,plan_growth,2025-06-27,,active
sub_00182,cus_00182,plan_starter,2025-06-25,,active
sub_00183,cus_00183,plan_growth,2025-06-03,2026-03-06,canceled
sub_00184,cus_00184,plan_starter,2025-06-11,,active
sub_00185,cus_00185,plan_growth,2025-06-06,,active
sub_00186,cus_00186,plan_starter,2025-06-01,2026-06-07,canceled
sub_00187,cus_00187,plan_growth,2025-06-04,,active
sub_00188,cus_00188,plan_growth,2025-06-15,,active
sub_00189,cus_00189,plan_growth,2025-06-12,2026-03-11,canceled
sub_00190,cus_00190,plan_growth,2025-06-14,2026-04-01,canceled
sub_00191,cus_00191,plan_starter,2025-06-14,2025-10-27,canceled
sub_00192,cus_00192,plan_growth,2025-06-12,2026-03-25,canceled
sub_00193,cus_00193,plan_starter,2025-06-02,,active
sub_00194,cus_00194,plan_starter,2025-06-29,2025-08-18,canceled
sub_00195,cus_00195,plan_enterprise,2025-06-08,,active
sub_00196,cus_00196,plan_starter,2025-06-28,,active
sub_00197,cus_00197,plan_growth,2025-06-28,,active
sub_00198,cus_00198,plan_growth,2025-06-21,2026-03-25,canceled
sub_00199,cus_00199,plan_starter,2025-06-19,,active
sub_00200,cus_00200,plan_starter,2025-06-02,,active
sub_00201,cus_00201,plan_growth,2025-06-26,,active
sub_00202,cus_00202,plan_starter,2025-06-07,,active
sub_00203,cus_00203,plan_growth,2025-06-26,2026-03-27,canceled
sub_00204,cus_00204,plan_starter,2025-06-30,,active
sub_00205,cus_00205,plan_growth,2025-07-13,,active
sub_00206,cus_00206,plan_growth,2025-07-04,,active
sub_00207,cus_00207,plan_scale,2025-07-23,,active
sub_00208,cus_00208,plan_scale,2025-07-18,,active
sub_00209,cus_00209,plan_starter,2025-07-21,,active
sub_00210,cus_00210,plan_growth,2025-07-07,,active
sub_00211,cus_00211,plan_growth,2025-07-20,2025-12-10,canceled
sub_00212,cus_00212,plan_starter,2025-07-12,,active
sub_00213,cus_00213,plan_starter,2025-07-19,,active
sub_00214,cus_00214,plan_growth,2025-07-12,2026-03-08,canceled
sub_00215,cus_00215,plan_scale,2025-07-15,,active
sub_00216,cus_00216,plan_starter,2025-07-09,,active
sub_00217,cus_00217,plan_growth,2025-07-15,2026-02-19,canceled
sub_00218,cus_00218,plan_growth,2025-07-12,2026-05-26,canceled
sub_00219,cus_00219,plan_enterprise,2025-07-24,,active
sub_00220,cus_00220,plan_growth,2025-07-14,,active
sub_00221,cus_00221,plan_growth,2025-07-14,,active
sub_00222,cus_00222,plan_growth,2025-07-01,2026-07-28,canceled
sub_00223,cus_00223,plan_starter,2025-07-15,,active
sub_00224,cus_00224,plan_growth,2025-07-10,2026-03-06,canceled
sub_00225,cus_00225,plan_scale,2025-07-10,,active
sub_00226,cus_00226,plan_starter,2025-07-29,,active
sub_00227,cus_00227,plan_growth,2025-07-29,,active
sub_00228,cus_00228,plan_growth,2025-07-05,,active
sub_00229,cus_00229,plan_scale,2025-07-30,2026-02-09,canceled
sub_00230,cus_00230,plan_starter,2025-07-20,2026-06-10,canceled
sub_00231,cus_00231,plan_starter,2025-08-13,,active
sub_00232,cus_00232,plan_scale,2025-08-13,,active
sub_00233,cus_00233,plan_starter,2025-08-10,,active
sub_00234,cus_00234,plan_growth,2025-08-07,,active
sub_00235,cus_00235,plan_growth,2025-08-15,,active
sub_00236,cus_00236,plan_growth,2025-08-01,,active
sub_00237,cus_00237,plan_enterprise,2025-08-10,,active
sub_00238,cus_00238,plan_growth,2025-08-23,,active
sub_00239,cus_00239,plan_scale,2025-08-29,,active
sub_00240,cus_00240,plan_growth,2025-08-17,2025-12-15,canceled
sub_00241,cus_00241,plan_growth,2025-08-05,2026-06-14,canceled
sub_00242,cus_00242,plan_scale,2025-08-27,2025-09-18,canceled
sub_00243,cus_00243,plan_starter,2025-08-07,2026-04-02,canceled
sub_00244,cus_00244,plan_scale,2025-08-30,,active
sub_00245,cus_00245,plan_growth,2025-08-10,,active
sub_00246,cus_00246,plan_growth,2025-08-19,2026-03-25,canceled
sub_00247,cus_00247,plan_growth,2025-08-17,,active
sub_00248,cus_00248,plan_growth,2025-08-18,2026-03-07,canceled
sub_00249,cus_00249,plan_starter,2025-08-15,,active
sub_00250,cus_00250,plan_growth,2025-08-31,,active
sub_00251,cus_00251,plan_scale,2025-08-31,,active
sub_00252,cus_00252,plan_starter,2025-08-09,,active
sub_00253,cus_00253,plan_starter,2025-08-31,,active
sub_00254,cus_00254,plan_growth,2025-08-08,,active
sub_00255,cus_00255,plan_growth,2025-08-08,2025-11-08,canceled
sub_00256,cus_00256,plan_starter,2025-08-13,,active
sub_00257,cus_00257,plan_starter,2025-08-02,,active
sub_00258,cus_00258,plan_growth,2025-08-18,,active
sub_00259,cus_00259,plan_growth,2025-08-14,,active
sub_00260,cus_00260,plan_growth,2025-08-04,2026-01-06,canceled
sub_00261,cus_00261,plan_growth,2025-09-30,,active
sub_00262,cus_00262,plan_growth,2025-09-16,,active
sub_00263,cus_00263,plan_growth,2025-09-04,,active
sub_00264,cus_00264,plan_starter,2025-09-22,,active
sub_00265,cus_00265,plan_enterprise,2025-09-22,,active
sub_00266,cus_00266,plan_growth,2025-09-30,2026-04-18,canceled
sub_00267,cus_00267,plan_enterprise,2025-09-20,,active
sub_00268,cus_00268,plan_starter,2025-09-13,2026-02-11,canceled
sub_00269,cus_00269,plan_growth,2025-09-14,,active
sub_00270,cus_00270,plan_scale,2025-09-24,,active
sub_00271,cus_00271,plan_growth,2025-09-09,,active
sub_00272,cus_00272,plan_scale,2025-09-29,,active
sub_00273,cus_00273,plan_starter,2025-09-14,2025-12-23,canceled
sub_00274,cus_00274,plan_growth,2025-09-17,,active
sub_00275,cus_00275,plan_growth,2025-09-27,2026-04-18,canceled
sub_00276,cus_00276,plan_starter,2025-09-13,,active
sub_00277,cus_00277,plan_growth,2025-09-03,,active
sub_00278,cus_00278,plan_starter,2025-09-29,,active
sub_00279,cus_00279,plan_starter,2025-09-27,2026-01-23,canceled
sub_00280,cus_00280,plan_growth,2025-09-05,2026-03-10,canceled
sub_00281,cus_00281,plan_starter,2025-09-27,,active
sub_00282,cus_00282,plan_growth,2025-09-29,,active
sub_00283,cus_00283,plan_growth,2025-09-17,,active
sub_00284,cus_00284,plan_growth,2025-09-01,,active
sub_00285,cus_00285,plan_starter,2025-09-03,,active
sub_00286,cus_00286,plan_growth,2025-09-15,2025-10-11,canceled
sub_00287,cus_00287,plan_starter,2025-09-19,,active
sub_00288,cus_00288,plan_starter,2025-09-02,,active
sub_00289,cus_00289,plan_growth,2025-09-16,,active
sub_00290,cus_00290,plan_growth,2025-09-26,,active
sub_00291,cus_00291,plan_growth,2025-10-31,,active
sub_00292,cus_00292,plan_starter,2025-10-20,2026-06-25,canceled
sub_00293,cus_00293,plan_starter,2025-10-22,2026-08-20,canceled
sub_00294,cus_00294,plan_growth,2025-10-14,,active
sub_00295,cus_00295,plan_starter,2025-10-13,,active
sub_00296,cus_00296,plan_growth,2025-10-14,2026-03-21,canceled
sub_00297,cus_00297,plan_starter,2025-10-25,,active
sub_00298,cus_00298,plan_starter,2025-10-11,,active
sub_00299,cus_00299,plan_growth,2025-10-29,,active
sub_00300,cus_00300,plan_starter,2025-10-24,,active
sub_00301,cus_00301,plan_scale,2025-10-15,,active
sub_00302,cus_00302,plan_starter,2025-10-01,2026-04-07,canceled
sub_00303,cus_00303,plan_growth,2025-10-15,,active
sub_00304,cus_00304,plan_growth,2025-10-27,,active
sub_00305,cus_00305,plan_starter,2025-10-27,,active
sub_00306,cus_00306,plan_starter,2025-10-22,,active
sub_00307,cus_00307,plan_starter,2025-10-30,2026-03-26,canceled
sub_00308,cus_00308,plan_scale,2025-10-28,,active
sub_00309,cus_00309,plan_growth,2025-10-08,2026-03-10,canceled
sub_00310,cus_00310,plan_growth,2025-10-12,2026-03-16,canceled
sub_00311,cus_00311,plan_starter,2025-10-12,,active
sub_00312,cus_00312,plan_starter,2025-10-11,2026-05-02,canceled
sub_00313,cus_00313,plan_starter,2025-10-13,,active
sub_00314,cus_00314,plan_growth,2025-10-28,2026-03-10,canceled
sub_00315,cus_00315,plan_growth,2025-10-06,2026-03-11,canceled
sub_00316,cus_00316,plan_growth,2025-10-11,2026-08-26,canceled
sub_00317,cus_00317,plan_enterprise,2025-10-07,,active
sub_00318,cus_00318,plan_growth,2025-10-09,2026-01-09,canceled
sub_00319,cus_00319,plan_starter,2025-10-13,,active
sub_00320,cus_00320,plan_growth,2025-10-20,,active
sub_00321,cus_00321,plan_starter,2025-10-14,,active
sub_00322,cus_00322,plan_growth,2025-10-01,,active
sub_00323,cus_00323,plan_scale,2025-10-04,,active
sub_00324,cus_00324,plan_growth,2025-10-13,2026-06-26,canceled
sub_00325,cus_00325,plan_starter,2025-11-03,,active
sub_00326,cus_00326,plan_growth,2025-11-29,,active
sub_00327,cus_00327,plan_starter,2025-11-21,,active
sub_00328,cus_00328,plan_growth,2025-11-11,,active
sub_00329,cus_00329,plan_starter,2025-11-29,,active
sub_00330,cus_00330,plan_scale,2025-11-12,2026-05-11,canceled
sub_00331,cus_00331,plan_growth,2025-11-03,,active
sub_00332,cus_00332,plan_growth,2025-11-11,,active
sub_00333,cus_00333,plan_starter,2025-11-13,2026-08-03,canceled
sub_00334,cus_00334,plan_scale,2025-11-05,,active
sub_00335,cus_00335,plan_starter,2025-11-28,,active
sub_00336,cus_00336,plan_starter,2025-11-25,,active
sub_00337,cus_00337,plan_growth,2025-11-01,2026-03-28,canceled
sub_00338,cus_00338,plan_growth,2025-11-22,2026-04-23,canceled
sub_00339,cus_00339,plan_scale,2025-11-11,,active
sub_00340,cus_00340,plan_growth,2025-11-13,,active
sub_00341,cus_00341,plan_starter,2025-11-16,,active
sub_00342,cus_00342,plan_starter,2025-11-15,,active
sub_00343,cus_00343,plan_starter,2025-11-18,,active
sub_00344,cus_00344,plan_starter,2025-11-29,,active
sub_00345,cus_00345,plan_growth,2025-11-26,,active
sub_00346,cus_00346,plan_starter,2025-11-17,,active
sub_00347,cus_00347,plan_growth,2025-11-20,,active
sub_00348,cus_00348,plan_enterprise,2025-11-01,,active
sub_00349,cus_00349,plan_growth,2025-11-27,2026-03-19,canceled
sub_00350,cus_00350,plan_scale,2025-11-26,2026-01-03,canceled
sub_00351,cus_00351,plan_scale,2025-11-02,,active
sub_00352,cus_00352,plan_starter,2025-11-19,,active
sub_00353,cus_00353,plan_growth,2025-11-18,2026-03-05,canceled
sub_00354,cus_00354,plan_growth,2025-11-25,2026-03-02,canceled
sub_00355,cus_00355,plan_starter,2025-11-05,,active
sub_00356,cus_00356,plan_starter,2025-11-06,,active
sub_00357,cus_00357,plan_growth,2025-11-22,,active
sub_00358,cus_00358,plan_growth,2025-11-11,,active
sub_00359,cus_00359,plan_starter,2025-12-08,,active
sub_00360,cus_00360,plan_growth,2025-12-23,,active
sub_00361,cus_00361,plan_growth,2025-12-14,,active
sub_00362,cus_00362,plan_growth,2025-12-26,2026-03-14,canceled
sub_00363,cus_00363,plan_growth,2025-12-13,,active
sub_00364,cus_00364,plan_starter,2025-12-23,,active
sub_00365,cus_00365,plan_starter,2025-12-30,,active
sub_00366,cus_00366,plan_growth,2025-12-08,,active
sub_00367,cus_00367,plan_growth,2025-12-26,2026-03-13,canceled
sub_00368,cus_00368,plan_growth,2025-12-10,,active
sub_00369,cus_00369,plan_starter,2025-12-15,,active
sub_00370,cus_00370,plan_starter,2025-12-07,,active
sub_00371,cus_00371,plan_growth,2025-12-18,,active
sub_00372,cus_00372,plan_scale,2025-12-14,,active
sub_00373,cus_00373,plan_starter,2025-12-08,,active
sub_00374,cus_00374,plan_starter,2025-12-10,,active
sub_00375,cus_00375,plan_growth,2025-12-25,,active
sub_00376,cus_00376,plan_growth,2025-12-13,,active
sub_00377,cus_00377,plan_starter,2025-12-13,,active
sub_00378,cus_00378,plan_enterprise,2025-12-16,,active
sub_00379,cus_00379,plan_starter,2025-12-12,2026-01-15,canceled
sub_00380,cus_00380,plan_growth,2025-12-16,,active
sub_00381,cus_00381,plan_starter,2025-12-07,,active
sub_00382,cus_00382,plan_starter,2025-12-13,,active
sub_00383,cus_00383,plan_scale,2025-12-11,,active
sub_00384,cus_00384,plan_starter,2025-12-07,,active
sub_00385,cus_00385,plan_starter,2025-12-15,,active
sub_00386,cus_00386,plan_starter,2025-12-30,,active
sub_00387,cus_00387,plan_growth,2025-12-01,2026-03-25,canceled
sub_00388,cus_00388,plan_starter,2025-12-29,,active
sub_00389,cus_00389,plan_growth,2025-12-05,,active
sub_00390,cus_00390,plan_growth,2026-01-01,,active
sub_00391,cus_00391,plan_starter,2026-01-18,,active
sub_00392,cus_00392,plan_growth,2026-01-22,,active
sub_00393,cus_00393,plan_starter,2026-01-05,,active
sub_00394,cus_00394,plan_starter,2026-01-19,,active
sub_00395,cus_00395,plan_scale,2026-01-27,,active
sub_00396,cus_00396,plan_growth,2026-01-13,2026-08-18,canceled
sub_00397,cus_00397,plan_growth,2026-01-10,,active
sub_00398,cus_00398,plan_starter,2026-01-02,,active
sub_00399,cus_00399,plan_enterprise,2026-01-02,,active
sub_00400,cus_00400,plan_starter,2026-01-02,2026-03-01,canceled
sub_00401,cus_00401,plan_starter,2026-01-22,,active
sub_00402,cus_00402,plan_starter,2026-01-14,,active
sub_00403,cus_00403,plan_growth,2026-01-02,,active
sub_00404,cus_00404,plan_growth,2026-01-24,,active
sub_00405,cus_00405,plan_growth,2026-01-13,2026-03-07,canceled
sub_00406,cus_00406,plan_starter,2026-01-09,,active
sub_00407,cus_00407,plan_starter,2026-01-12,,active
sub_00408,cus_00408,plan_starter,2026-01-04,,active
sub_00409,cus_00409,plan_starter,2026-01-28,,active
sub_00410,cus_00410,plan_growth,2026-01-01,,active
sub_00411,cus_00411,plan_growth,2026-01-20,2026-03-14,canceled
sub_00412,cus_00412,plan_starter,2026-01-09,,active
sub_00413,cus_00413,plan_growth,2026-01-22,,active
sub_00414,cus_00414,plan_starter,2026-01-19,,active
sub_00415,cus_00415,plan_growth,2026-01-29,,active
sub_00416,cus_00416,plan_growth,2026-01-03,2026-03-24,canceled
sub_00417,cus_00417,plan_scale,2026-01-17,,active
sub_00418,cus_00418,plan_growth,2026-01-01,,active
sub_00419,cus_00419,plan_starter,2026-01-01,,active
sub_00420,cus_00420,plan_scale,2026-01-31,,active
sub_00421,cus_00421,plan_starter,2026-01-19,,active
sub_00422,cus_00422,plan_starter,2026-01-10,2026-06-16,canceled
sub_00423,cus_00423,plan_growth,2026-01-04,,active
sub_00424,cus_00424,plan_starter,2026-01-30,2026-06-16,canceled
sub_00425,cus_00425,plan_scale,2026-01-08,,active
sub_00426,cus_00426,plan_growth,2026-02-03,,active
sub_00427,cus_00427,plan_starter,2026-02-19,,active
sub_00428,cus_00428,plan_growth,2026-02-01,,active
sub_00429,cus_00429,plan_starter,2026-02-06,,active
sub_00430,cus_00430,plan_scale,2026-02-10,,active
sub_00431,cus_00431,plan_starter,2026-02-27,,active
sub_00432,cus_00432,plan_growth,2026-02-10,,active
sub_00433,cus_00433,plan_scale,2026-02-07,,active
sub_00434,cus_00434,plan_starter,2026-02-12,2026-06-11,canceled
sub_00435,cus_00435,plan_scale,2026-02-20,,active
sub_00436,cus_00436,plan_scale,2026-02-21,,active
sub_00437,cus_00437,plan_scale,2026-02-22,,active
sub_00438,cus_00438,plan_starter,2026-02-22,,active
sub_00439,cus_00439,plan_starter,2026-02-27,,active
sub_00440,cus_00440,plan_growth,2026-02-12,2026-03-04,canceled
sub_00441,cus_00441,plan_growth,2026-02-11,2026-03-09,canceled
sub_00442,cus_00442,plan_starter,2026-02-16,,active
sub_00443,cus_00443,plan_scale,2026-02-15,,active
sub_00444,cus_00444,plan_growth,2026-02-03,2026-03-10,canceled
sub_00445,cus_00445,plan_starter,2026-02-01,,active
sub_00446,cus_00446,plan_starter,2026-02-28,,active
sub_00447,cus_00447,plan_growth,2026-02-28,,active
sub_00448,cus_00448,plan_starter,2026-02-16,,active
sub_00449,cus_00449,plan_starter,2026-02-09,,active
sub_00450,cus_00450,plan_growth,2026-02-22,2026-03-17,canceled
sub_00451,cus_00451,plan_growth,2026-02-06,,active
sub_00452,cus_00452,plan_growth,2026-02-27,,active
sub_00453,cus_00453,plan_growth,2026-02-11,,active
sub_00454,cus_00454,plan_starter,2026-02-05,,active
sub_00455,cus_00455,plan_starter,2026-02-02,2026-04-12,canceled
sub_00456,cus_00456,plan_starter,2026-02-07,,active
sub_00457,cus_00457,plan_starter,2026-02-12,,active
sub_00458,cus_00458,plan_scale,2026-02-14,,active
sub_00459,cus_00459,plan_growth,2026-02-20,2026-04-22,canceled
